"unit","year","campaign","subunit","site","point_name","survey_ID","Date","sin.dist.21.June","cos.dist.21.June","sin.dist.noon","cos.dist.noon","settlements","agriculture","dunes","habitat","mean.lon","mean.lat","NA","Ablepharus rueppellii","Acanthodactylus aegyptius","Acanthodactylus beershebensis","Acanthodactylus boskianus","Acanthodactylus scutellatus","Cerastes cerastes","Cerastes vipera","Chalcides guentheri","Chalcides ocellatus","Chalcides sepsoides","Chamaeleo chamaeleon","Daboia palaestinae","Dolichophis jugularis","Eirenis coronelloides","Eirenis decemlineatus","Eirenis rothii","Eryx jaculus","Eumeces schneiderii","Hemidactylus turcicus","Hemorrhois nummifer","Heremites vittatus","Laudakia vulgaris","Letheobia simoni","Lytorhynchus diadema","Macroprotodon cucullatus","Malpolon insignitus","Mediodactylus orientalis","Mesalina bahaeldini","Mesalina olivieri","Micrelaps muelleri","Myriopholis macrorhyncha","Ophiomorus latastii","Ophisops elegans","Phoenicolacerta laevis","Platyceps collaris","Platyceps rogersi","Psammophis schokari","Pseudopus apodus","Ptyodactylus guttatus","Ptyodactylus puiseuxi","Rhynchocalamus melanocephalus","Scincus scincus","Spalerosophis diadema","Stenodactylus petrii","Stenodactylus sthenodactylus","Telescopus fallax","Testudo graeca","Testudo kleinmanni","Trapelus agnetae","Trapelus savignii","Varanus griseus","Xerotyphlops syriacus"
"Coastal Plain Sands",2014,"T0",NA,"Ashkelon","Ashkelon Far Semi-Shifting 2","T0_Ashkelon Far Semi-Shifting 2","2014-10-06",0.9634705485641488,-0.2678143051621742,0.7431448254773942,0.6691306063588582,"Far",NA,"semi-shifting",NA,34.61261335,31.71950099,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashkelon","Ashkelon Far Semi-Shifting 3","T0_Ashkelon Far Semi-Shifting 3","2014-10-05",0.9679377830240642,-0.25119006388481935,0.5877852522924731,0.8090169943749475,"Far",NA,"semi-shifting",NA,34.60798923,31.71594876,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashkelon","Ashkelon Far Shifting 1","T0_Ashkelon Far Shifting 1","2014-10-05",0.9679377830240642,-0.25119006388481935,0.5112930860770522,0.8594064115014527,"Far",NA,"shifting",NA,34.59716188,31.71275766,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashkelon","Ashkelon Far Shifting 2","T0_Ashkelon Far Shifting 2","2014-10-02",0.9796136916454901,-0.20089055513063506,0.838670567945424,0.5446390350150271,"Far",NA,"shifting",NA,34.59448643,31.72405972,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashkelon","Ashkelon Far Shifting 3","T0_Ashkelon Far Shifting 3","2014-10-05",0.9679377830240642,-0.25119006388481935,0.3947438563842672,0.9187912101488983,"Far",NA,"shifting",NA,34.58867812,31.7126102,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashkelon","Ashkelon Near Semi-Shifting 1","T0_Ashkelon Near Semi-Shifting 1","2014-10-06",0.9634705485641488,-0.2678143051621742,0.26723837607825685,0.963630453208623,"Near",NA,"semi-shifting",NA,34.60432269,31.70919784,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashkelon","Ashkelon Near Semi-Shifting 2","T0_Ashkelon Near Semi-Shifting 2","2014-10-01",0.9829265519799822,-0.18399835165768005,0.9222009716704518,0.3867109616368206,"Near",NA,"semi-shifting",NA,34.62138511,31.730604239999998,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Ashkelon","Ashkelon Near Semi-Shifting 3","T0_Ashkelon Near Semi-Shifting 3","2014-10-02",0.9796136916454901,-0.20089055513063506,0.8746197071393957,0.4848096202463371,"Near",NA,"semi-shifting",NA,34.61718501,31.73423081,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Netiv Haasara","Netiv Haasara Far Semi-Shifting 1","T0_Netiv Haasara Far Semi-Shifting 1","2014-10-13",0.9242907221930934,-0.3816892202666588,0.8314696123025452,0.5555702330196023,"Far",NA,"semi-shifting",NA,34.50322713,31.59417601,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Netiv Haasara","Netiv Haasara Far Semi-Shifting 2","T0_Netiv Haasara Far Semi-Shifting 2","2014-10-13",0.9242907221930934,-0.3816892202666588,0.3705574375098362,0.9288095528719242,"Far",NA,"semi-shifting",NA,34.52004388,31.58659519,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
