"year","site","point_name","ITime","Date","Date.time","dist.21.June","dist.noon","dist.21.June.radians","dist.21.June.radians.2h","dist.noon.radians","year.count","sin.dist.21.June","cos.dist.21.June","sin.dist.noon","cos.dist.noon","predicted.abnd","predicted.abnd.se"
2017,NA,NA,"17:30:00","2017-07-20","2017/07/20 17:30:00",29,-19800,0.4992119833101589,0.9984239666203178,-1.4398966328953218,0,0.47873384011578846,0.8779600847008882,-0.9914448613738104,0.1305261922200517,14.903869989448443,2.662466847179507
2019,NA,NA,"17:30:00","2019-07-20","2019/07/20 17:30:00",29,-19800,0.4992119833101589,0.9984239666203178,-1.4398966328953218,2,0.47873384011578846,0.8779600847008882,-0.9914448613738104,0.1305261922200517,10.05162198387699,1.451684181975236
2021,NA,NA,"17:30:00","2021-07-20","2021/07/20 17:30:00",29,-19800,0.4992119833101589,0.9984239666203178,-1.4398966328953218,4,0.47873384011578846,0.8779600847008882,-0.9914448613738104,0.1305261922200517,6.779118750921035,1.1157448603418803
