"year","site","Date","dist.21.June","dist.21.June.radians","dist.21.June.radians.2h","year.count","sin.dist.21.June","cos.dist.21.June","predicted.abnd","predicted.abnd.se"
2017,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0,0.47873384011578846,0.8779600847008882,16.140368716623286,2.537614410904792
2017.03,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.029999999999972715,0.47873384011578846,0.8779600847008882,16.035709362718364,2.5025068343713266
2017.06,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.05999999999994543,0.47873384011578846,0.8779600847008882,15.93172865380305,2.4678107854254376
2017.09,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.08999999999991815,0.47873384011578846,0.8779600847008882,15.828422189324439,2.433523409445221
2017.12,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.11999999999989086,0.47873384011578846,0.8779600847008882,15.725785597264256,2.3996418934093002
2017.15,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.15000000000009095,0.47873384011578846,0.8779600847008882,15.623814533953032,2.3661634659445205
2017.18,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.18000000000006366,0.47873384011578846,0.8779600847008882,15.52250468388934,2.3330853973764674
2017.21,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.21000000000003638,0.47873384011578846,0.8779600847008882,15.421851759552563,2.3004049997783653
2017.24,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.2400000000000091,0.47873384011578846,0.8779600847008882,15.321851501224524,2.268119627022685
2017.27,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.2699999999999818,0.47873384011578846,0.8779600847008882,15.222499676808411,2.2362266748308577
2017.3,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.2999999999999545,0.47873384011578846,0.8779600847008882,15.12379208164971,2.2047235808217707
2017.33,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.32999999999992724,0.47873384011578846,0.8779600847008882,15.025724538358242,2.173607824557812
2017.36,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.35999999999989996,0.47873384011578846,0.8779600847008882,14.928292896631355,2.142876927587426
2017.39,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.39000000000010004,0.47873384011578846,0.8779600847008882,14.831493033077594,2.112528453482844
2017.42,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.42000000000007276,0.47873384011578846,0.8779600847008882,14.735320851045065,2.0825600078730786
2017.45,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.4500000000000455,0.47873384011578846,0.8779600847008882,14.639772280443717,2.052969238467458
2017.48,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.4800000000000182,0.47873384011578846,0.8779600847008882,14.544843277576001,2.0237538350727884
2017.51,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.5099999999999909,0.47873384011578846,0.8779600847008882,14.450529824964995,1.994911529599151
2017.54,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.5399999999999636,0.47873384011578846,0.8779600847008882,14.356827931184403,1.9664400960539987
2017.57,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.5699999999999363,0.47873384011578846,0.8779600847008882,14.26373363068963,1.9383373505224877
2017.6,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.599999999999909,0.47873384011578846,0.8779600847008882,14.171242983649929,1.9106011511320609
2017.63,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.6300000000001091,0.47873384011578846,0.8779600847008882,14.079352075781008,1.8832293979989487
2017.66,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.6600000000000819,0.47873384011578846,0.8779600847008882,13.988057018182143,1.856220033155539
2017.69,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.6900000000000546,0.47873384011578846,0.8779600847008882,13.897353947167392,1.8295710404530472
2017.72,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.7200000000000273,0.47873384011578846,0.8779600847008882,13.807239024104915,1.8032804454410263
2017.75,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.75,0.47873384011578846,0.8779600847008882,13.717708435253792,1.7773463152177726
2017.78,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.7799999999999727,0.47873384011578846,0.8779600847008882,13.628758391602615,1.751766758249891
2017.81,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.8099999999999454,0.47873384011578846,0.8779600847008882,13.54038512870917,1.7265399241576302
2017.84,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.8399999999999181,0.47873384011578846,0.8779600847008882,13.452584906541075,1.7016640034625787
2017.87,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.8699999999998909,0.47873384011578846,0.8779600847008882,13.365354009317544,1.6771372272941532
2017.9,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.900000000000091,0.47873384011578846,0.8779600847008882,13.278688745351447,1.6529578670508736
2017.93,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.9300000000000637,0.47873384011578846,0.8779600847008882,13.192585446895718,1.6291242340135157
2017.96,"Shunra East","2017-07-20",29,0.4992119833101589,0.9984239666203178,0.9600000000000364,0.47873384011578846,0.8779600847008882,13.107040469984161,1.6056346789031568
